nomination_id,year,award,name,is_winner,movie
1372,2015,Best Director,Isabel Coixet,Nominated, Nobody Wants the Night
1373,2015,Best Director,Fernando León de Aranoa,Nominated, A Perfect Day
1374,2015,Best Actor,Ricardo Darín,Winner, Truman as Julián
1375,2015,Best Actor,Pedro Casablanc,Nominated, B as Luis Bárcenas
1376,2015,Best Actor,Luis Tosar,Nominated, Retribution as Carlos
1377,2015,Best Actor,Asier Etxeandia,Nominated, The Bride as El novio
1378,2015,Best Actress,Natalia de Molina,Winner, Techo y comida as Rocío
1379,2015,Best Actress,Inma Cuesta,Nominated, The Bride as La novia
1380,2015,Best Actress,Penélope Cruz,Nominated, Ma Ma as Magda
1381,2015,Best Actress,Juliette Binoche,Nominated, Nobody Wants the Night as Josephine Peary
1382,2015,Best Supporting Actor,Javier Cámara,Winner, Truman as Tomás
1383,2015,Best Supporting Actor,Felipe García Vélez,Nominated, A cambio de nada as Justo Caralimpia
1384,2015,Best Supporting Actor,Manolo Solo,Nominated, B as Pablo Ruz
1385,2015,Best Supporting Actor,Tim Robbins,Nominated, A Perfect Day as B
1386,2015,Best Supporting Actress,Luisa Gavasa,Winner, The Bride as Madre
1387,2015,Best Supporting Actress,Elvira Mínguez,Nominated, Retribution as Belén
1388,2015,Best Supporting Actress,Marian Álvarez,Nominated, Felices 140 as Cati
1389,2015,Best Supporting Actress,Nora Navas,Nominated, Felices 140 as Martina
1390,2015,Best New Actor,Miguel Herrán,Winner, A cambio de nada as Darío
1391,2015,Best New Actor,Fernando Colomo,Nominated, Isla bonita as Fernando
1392,2015,Best New Actor,Manuel Burque,Nominated, Requisitos para ser una persona normal as Borja
1393,2015,Best New Actor,Álex Garcia,Nominated, The Bride as Leonardo
1394,2015,Best New Actress,Irene Escolar,Winner, Un otoño sin Berlín as June
1395,2015,Best New Actress,Antonia Guzmán,Nominated, A cambio de nada as Antonia
1396,2015,Best New Actress,Iraia Elias,Nominated, Amama as Amaia
1397,2015,Best New Actress,Yorkanda Ariosa,Nominated, El Rey de La Habana as Magda
1398,2015,Best Original Screenplay, Cesc Gay & Tomàs Aragay,Winner,Truman
1399,2015,Best Original Screenplay, Daniel Guzmán,Nominated,A cambio de nada
1400,2015,Best Original Screenplay, Alberto Marini,Nominated,Retribution
1401,2015,Best Original Screenplay, Borja Cobeaga,Nominated,Negociador
1402,2015,Best Adapted Screenplay, Fernando León de Aranoa,Winner,A Perfect Day
1403,2015,Best Adapted Screenplay, David Ilundain,Nominated,B
1404,2015,Best Adapted Screenplay, Agustí Villaronga,Nominated,El Rey de La Habana
1405,2015,Best Adapted Screenplay, Paula Ortiz & Javier García Arredondo,Nominated,The Bride
1406,2015,Best Spanish Language Foreign Film,Argentina,Winner,The Clan 
1407,2015,Best Spanish Language Foreign Film,Chile,Nominated,La once 
1408,2015,Best Spanish Language Foreign Film,Peru,Nominated,Magallanes 
1409,2015,Best Spanish Language Foreign Film,Uruguay,Nominated,Vestido de novia 
1410,2015,Best European Film,France/Turkey/Germany,Winner,Mustang 
1411,2015,Best European Film,France,Nominated,Sur le chemin de l'école 
1412,2015,Best European Film,Russia,Nominated,Leviathan 
1413,2015,Best European Film,UK/France/United States,Nominated,Macbeth 
1414,2015,Best New Director, A cambio de nada,Winner,Daniel Guzmán
1415,2015,Best New Director, Retribution,Nominated,Dani de la Torre
